id,recipe_id,ingredient_id,quantity,unit,optional
1,1,1,50.0,g,False
2,2,2,1.0,piece,False
3,3,3,180.0,g,False
4,4,4,1.2,piece,False
5,5,5,1.0,tbsp,False
6,6,6,3.0,g,False
7,7,7,1.0,piece,False
8,8,8,180.0,g,False
9,9,3,180.0,g,False
10,10,9,2.0,tbsp,False
11,11,2,1.0,piece,False
12,12,2,1.0,piece,False
13,13,2,1.0,piece,False
14,14,10,250.0,g,False
15,15,11,2.0,clove,False
16,16,2,1.0,piece,False
17,17,12,1.0,piece,False
18,18,2,0.5,piece,False
19,19,3,200.0,g,False
20,20,7,1.0,piece,False
21,21,11,3.0,clove,False
22,22,13,1.0,piece,False
23,23,11,4.0,piece,False
24,24,14,3.0,cm,False
25,1,15,70.0,g,False
26,2,11,2.0,clove,False
27,3,5,1.0,tbsp,False
28,4,16,1.0,tbsp,False
29,5,11,2.0,clove,False
30,6,11,1.0,clove,False
31,7,11,3.0,clove,False
32,8,2,1.0,piece,False
33,9,17,2.0,cup,False
34,10,5,1.0,tbsp,False
35,11,18,1.0,tbsp,False
36,12,19,2.0,tbsp,False
37,13,14,3.0,cm,False
38,14,20,0.5,cup,False
39,15,21,1.0,tsp,False
40,16,22,1.0,piece,False
41,17,23,1.0,piece,False
42,18,11,4.0,clove,False
43,19,24,0.5,piece,False
44,20,3,200.0,g,False
45,21,25,200.0,g,False
46,22,26,0.5,piece,False
47,23,16,0.5,tsp,False
48,24,27,2.0,tsp,False
49,1,11,2.0,clove,False
50,2,28,400.0,g,False
51,3,29,1.0,tbsp,False
52,4,9,3.0,tbsp,False
53,5,14,3.0,cm,False
54,6,30,1.0,g,False
55,7,1,2.0,tbsp,False
56,8,31,1.0,cup,False
57,9,2,1.0,piece,False
58,10,32,1.0,cup,False
59,11,33,4.0,tbsp,False
60,12,34,10.0,piece,False
61,13,11,2.0,clove,False
62,14,11,3.0,clove,False
63,15,35,60.0,ml,False
64,16,11,2.0,clove,False
65,17,36,1.0,can,False
66,18,14,2.0,cm,False
67,19,37,2.0,piece,False
68,20,38,2.0,tbsp,False
69,21,39,1.0,tsp,False
70,22,40,5.0,piece,False
71,23,13,1.0,piece,False
72,24,41,1.0,tsp,False
73,1,42,80.0,g,False
74,2,43,1.0,g,False
75,3,33,4.0,tbsp,False
76,4,44,200.0,g,False
77,5,45,1.0,piece,False
78,6,3,180.0,g,False
79,7,46,1.0,tsp,False
80,8,47,2.0,tbsp,False
81,9,11,2.0,clove,False
82,10,11,3.0,clove,False
83,11,48,1.0,tbsp,False
84,12,28,400.0,g,False
85,13,49,2.0,seeds,False
86,14,50,1.0,piece,False
87,15,51,4.0,fillet,False
88,16,52,140.0,g,False
89,17,3,1.0,block,False
90,18,53,2.0,tbsp,False
91,19,14,2.0,cm,False
92,20,33,1.0,tbsp,False
93,21,41,0.5,tsp,False
94,22,54,2.0,ml,False
95,23,55,200.0,g,False
96,24,21,0.5,tsp,False
97,1,56,3.0,handful,False
98,2,15,60.0,g,False
99,3,42,100.0,g,False
100,4,11,1.0,clove,False
101,5,57,0.25,cup,False
102,6,33,3.0,tbsp,False
103,7,58,1.0,piece,False
104,8,59,1.2,bunch,False
105,9,24,1.0,piece,False
106,10,14,2.0,cm,False
107,11,21,1.0,tsp,False
108,12,15,60.0,g,False
109,13,41,1.0,tsp,False
110,14,60,1.0,some,False
111,15,10,200.0,g,False
112,16,61,30.0,g,False
113,18,62,2.0,tbsp,False
114,19,11,4.0,clove,False
115,20,61,50.0,g,False
116,21,12,1.5,tsp,False
117,23,63,20.0,g,False
118,24,64,100.0,g,False
119,3,24,1.0,piece,False
120,4,14,2.0,cm,False
121,5,33,3.0,tbsp,False
122,6,56,3.0,handful,False
123,7,28,400.0,g,False
124,8,65,1.0,g,False
125,9,66,1.0,stalk,False
126,10,21,1.0,tsp,False
127,11,11,3.0,clove,False
128,12,67,1.0,can,False
129,13,68,1.0,tsp,False
130,14,69,1.0,piece,False
131,15,15,45.0,g,False
132,16,70,20.0,g,False
133,18,47,300.0,ml,False
134,19,33,3.0,tbsp,False
135,20,71,5.0,tbsp,False
136,21,10,250.0,g,False
137,23,72,20.0,g,False
138,24,16,1.0,tsp,False
139,3,73,200.0,g,False
140,4,21,1.0,tsp,False
141,5,74,2.0,tbsp,False
142,6,75,1.0,bag,False
143,7,15,40.0,g,False
144,8,9,1.0,tbsp,False
145,9,33,1.0,tbsp,False
146,10,33,4.0,tbsp,False
147,11,37,3.0,piece,False
148,13,76,1.0,tsp,False
149,15,77,1.0,some,False
150,16,15,30.0,g,False
151,18,16,2.0,tsp,False
152,19,74,1.5,tbsp,False
153,20,78,100.0,g,False
154,21,78,200.0,g,False
155,23,43,15.0,g,False
156,24,35,125.0,ml,False
157,3,79,60.0,g,False
158,4,57,3.0,tbsp,False
159,5,80,2.0,tbsp,False
160,6,24,1.0,piece,False
161,7,10,200.0,g,False
162,8,81,2.0,handful,False
163,9,82,1.0,g,False
164,10,74,2.0,tbsp,False
165,11,75,1.0,bag,False
166,13,83,1.0,tsp,False
167,16,69,80.0,g,False
168,18,33,2.0,tbsp,False
169,19,84,12.0,piece,False
170,20,85,2.0,tsp,False
171,21,26,0.5,piece,False
172,23,86,2.0,piece,False
173,3,37,1.0,piece,False
174,4,87,1.0,piece,False
175,5,16,1.5,tbsp,False
176,9,81,1.0,handful,False
177,10,88,1.0,bag,False
178,13,89,1.0,tsp,False
179,16,59,1.0,handful,False
180,18,90,1.0,piece,False
181,19,48,1.0,tsp,False
182,20,4,0.5,piece,False
183,21,91,1.0,tsp,False
184,24,1,50.0,g,False
185,3,11,2.0,clove,False
186,4,75,1.0,bag,False
187,5,75,1.0,bag,False
188,9,34,1.0,piece,False
189,10,56,3.0,handful,False
190,13,92,1.0,can,False
191,19,93,1.0,tsp,False
192,21,1,2.0,tbsp,False
193,3,94,1.0,tbsp,False
194,5,24,1.0,piece,False
195,9,72,1.0,g,False
196,13,47,200.0,ml,False
197,19,95,1.0,tsp,False
198,21,96,1.0,tbsp,False
199,3,97,1.0,tsp,False
200,13,30,1.0,bunch,False
201,19,18,0.5,tsp,False
202,3,98,1.0,tbsp,False
203,3,74,1.0,tsp,False
204,3,4,1.2,piece,False
