id,name,description,instructions,instruction_link,servings,prep_time_min,cook_time_min,difficulty,image_url,created_at,updated_at
1,Alfredo Pasta,,,https://kuchnialidla.pl/tagliatelle-z-sosem-alfredo?utm_source=youtube&utm_medium=video&utm_content=kw38-tagliatelle-z-sosem-alfredo-karol-okrasa-i-kuchnia-lidla,,,,,,2025-08-18 18:57:27.143997,2025-08-18 18:57:27.144006
2,Neapolitan Pasta,,,,,,,,,2025-08-18 18:57:27.154000,2025-08-18 18:57:27.154009
3,Udon with Tofu,,,,,,,,,2025-08-18 18:57:27.160055,2025-08-18 18:57:27.160064
4,Pulled Tofu with Brussels Sprouts,,,,,,,,,2025-08-18 18:57:27.167177,2025-08-18 18:57:27.167191
5,Kung Pao Mushrooms,,,https://www.rozkoszny.pl/grzybki-kung-pao-prosty-weganski-obiad-w-15-minut/,,,,,,2025-08-18 18:57:27.173714,2025-08-18 18:57:27.173726
6,Fried Rice,,,https://www.youtube.com/embed/0D4iJstAe6o,,,,,,2025-08-18 18:57:27.182228,2025-08-18 18:57:27.182243
7,"Pasta with Eggplant, Tomatoes and Harissa",,,https://www.rozkoszny.pl/makaron-z-baklazanem-pomidorami-i-harissa/,,,,,,2025-08-18 18:57:27.190200,2025-08-18 18:57:27.190213
8,Creamy Penne with Smoked Tofu,,,,,,,,,2025-08-18 18:57:27.196582,2025-08-18 18:57:27.196592
9,Zucchini Spaghetti a la Bolognese,,,,,,,,,2025-08-18 18:57:27.203902,2025-08-18 18:57:27.203914
10,Tofu in Orange Sauce,,,https://ervegan.com/2022/05/tofu-pomaranczowe/,,,,,,2025-08-18 18:57:27.211864,2025-08-18 18:57:27.211876
11,Korean Braised Tofu,,,,,,,,,2025-08-18 18:57:27.218349,2025-08-18 18:57:27.218361
12,Tuna with Pasta,,,,,,,,,2025-08-18 18:57:27.226370,2025-08-18 18:57:27.226381
13,Chickpea Curry,,,https://www.kwestiasmaku.com/przepis/curry-z-ciecierzycy,,,,,,2025-08-18 18:57:27.233132,2025-08-18 18:57:27.233141
14,Pasta with Arugula Pesto and Tofu,,,,,,,,,2025-08-18 18:57:27.238964,2025-08-18 18:57:27.238972
15,Pasta with Yellow Pepper Sauce and Pistachios,,,https://www.rozkoszny.pl/makaron-z-sosem-z-zoltej-papryki-i-pistacjami/,,,,,,2025-08-18 18:57:27.244303,2025-08-18 18:57:27.244315
16,Cheesy Pasta,,,https://www.instagram.com/p/DCEP90HI6uM/,,,,,,2025-08-18 18:57:27.250023,2025-08-18 18:57:27.250032
17,Wraps,,,,,,,,,2025-08-18 18:57:27.255873,2025-08-18 18:57:27.255883
18,Coconut Lime Tofu,,,https://www.instagram.com/p/DAqmQG0yDd1/,,,,,,2025-08-18 18:57:27.262281,2025-08-18 18:57:27.262291
19,Baked Rice Paper Dumplings,,,https://www.drveganblog.com/baked-rice-paper-dumplings-with-tofu-and-mushrooms/,,,,,,2025-08-18 18:57:27.269266,2025-08-18 18:57:27.269275
20,Tofurger,,,https://www.instagram.com/p/DFYRpdyCYHx/,,,,,,2025-08-18 18:57:27.275146,2025-08-18 18:57:27.275158
21,Turkish Pasta,,,instagram,,,,,,2025-08-18 18:57:27.281248,2025-08-18 18:57:27.281257
22,Toast with Burrata and Avocado,,,,,,,,,2025-08-18 18:57:27.287511,2025-08-18 18:57:27.287520
23,Pasta with Burrata and Roasted Cherry Tomatoes,,,https://www.rozkoszny.pl/makaron-z-burrata-dop-i-pieczonymi-pomidorkami-koktajlowymi/,,,,,,2025-08-18 18:57:27.293242,2025-08-18 18:57:27.293251
24,Halloumi Butter Masala,,,https://www.rozkoszny.pl/halloumi-butter-masala/,,,,,,2025-08-18 18:57:27.299960,2025-08-18 18:57:27.299969
25,Test recipe,This is a test recipe,instruction,,2,15,20,medium,,2025-08-21 17:04:08.959100,2025-08-21 17:04:08.959112
